"Path","SHA256","Length","LastWriteTime"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Coding_and_Software_Cookbook_v3.tex","6A03470C25AD9910B02D5FB4BB553151C3E8BE3B34806D922C7F64026ACEEAF4","1597","4/28/2026 12:42:25 PM"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro\Source_Code_CURRENT\Coding_and_Software_Cookbook_v3.tex","6A03470C25AD9910B02D5FB4BB553151C3E8BE3B34806D922C7F64026ACEEAF4","1597","4/28/2026 12:42:25 PM"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro\Source_Code_CURRENT\Data_Analysis_Textbook_Combined_v3.tex","96DA2E0DCE98092CBD9EA94B7B7E0EC4B6E04C609B344899D2BA7882144E505D","2141","4/28/2026 2:18:40 PM"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro\Source_Code_CURRENT\Data_Analysis_Textbook_Core_Reader_v1.tex","DD2534E10B31F4F2FFB94E205F341F78DB6B459BF11A1D48A54E9A422870D9F6","2153","4/28/2026 2:18:40 PM"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro\Source_Code_CURRENT\Sources\Appendix_Coding_and_Software_Cookbook_v3.tex","43DE78C01879B16156AB84FA04F2B92966FB757C29B3EE83A6D188FDE975E2EE","44403","4/28/2026 1:13:02 PM"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro\Source_Code_CURRENT\Sources\Build_Mode_v1.tex","8C17DC2672A6BC9DC3ECB2D4CFEC22D156C4E6EEFFF01578C04D156F3CB76961","258","4/24/2026 2:54:58 AM"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro\Source_Code_CURRENT\Sources\Ch01_Data_Analysis_as_Statistical_Learning_v3.tex","44592CBE5FBDCA4403625C4CFC88E266DBC67065B1420228FB473C878D0D4A4A","30978","4/27/2026 6:14:41 PM"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro\Source_Code_CURRENT\Sources\Ch02_Prediction_Error_Flexibility_Generalization_v3.tex","23B2BC6ADA3CD36653CDF30085A6A6B899737FBA284A417D095D5E62C56FF00C","32566","4/27/2026 6:14:41 PM"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro\Source_Code_CURRENT\Sources\Ch03_Data_Quality_Cleaning_Trustworthy_Variables_v3.tex","34A4144FFF4E7AF36F7B118C91238BB1900B5941F63DB01C15824B360B14830B","31174","4/28/2026 11:14:09 AM"
"C:\Users\posad\OneDrive\Desktop\DataAnalysis\Lectures\0. Current Textbook\Context Handoff - Pro\Source_Code_CURRENT\Sources\Ch04_Exploratory_Data_Analysis_Summaries_Visual_Structure_v3.tex","8F47B1BEC1D1121357E64996EFE6028DDC63E8DB0EDDF77A76ADD241FA43DB91","30574","4/27/2026 6:18:50 PM"
